Medical Record Number,Prefix,First Name,Middle Name,Last Name,Date of Birth,Social Security Number,Gender,Marital Status
111111,Mrs,Kelly,A,Taper,9/1/79,311-38-3978,Female,Single
222222,Mr,Bruce,B,Wayne,6/13/06,113-83-3798,Male,Single
333333,Mrs,Carrie,C,Underwood,3/16/14,583-00-6387,Female,Married
444444,Ms,Wonder,D,Woman,4/24/03,580-71-8520,Female,Divorced
555555,Dr,Darth,E,Vader,12/23/87,744-85-1232,Male,Widowed
666666,Dr,James,F,Bond,7/30/81,973-13-0224,Male,Single
777777,Mr,Homer,G,Simpson,9/1/80,557-31-0655,Male,Married
888888,Dr,Optimus,H,Prime,9/19/85,521-26-0727,Other,Divorced
999999,Dr,Mickey,I,Mouse,6/14/00,984-56-3166,Male,Single
101010,Mr,SpongeBob,J,SquarePants,6/14/00,984-56-3166,Male,Single
