Medical Record Number,Suffix,First Name,Middle Name,Last Name,Date of Birth,Social Security Number,Gender,Marital Status,Created Date,Coding Date,Billing Date,Claims Date,Charge Capture Date
918975,Mrs,Darth,R,Prime,2012-08-05,134-71-5147,Female,Single,2018-11-20,2018-11-21,2018-11-23,2018-11-24,2018-11-29
751216,Mrs,Darth,C,Prime,2006-12-16,029-13-2359,Female,Divorced,2018-11-21,2018-11-23,2018-11-25,2018-11-25,2018-11-30
161359,Dr,Wonder,C,Woman,1979-05-02,815-00-0024,Female,Domestic,2018-11-21,2018-11-27,2018-11-27,2018-11-28,2018-11-29
846145,Ms,James,U,Wayne,1985-08-04,575-26-0801,Female,Single,2018-11-21,2018-11-22,2018-11-24,2018-11-24,2018-11-29
101896,Mrs,Wonder,R,Simpson,1985-10-24,973-36-1514,Female,Domestic,2018-11-21,2018-11-21,2018-11-22,2018-11-27,2018-11-28
458293,Ms,James,K,SquarePants,2017-02-28,082-95-1205,Female,Widowed,2018-11-23,2018-11-26,2018-11-28,2018-11-30,2018-11-30
914752,Ms,Optimus,I,SquarePants,1973-08-18,141-02-0971,Female,Divorced,2018-11-20,2018-11-21,2018-11-21,2018-11-24,2018-11-27
557020,Mrs,Mickey,J,Prime,2001-05-12,233-13-1962,Female,Married,2018-11-20,2018-11-23,2018-11-23,2018-11-28,2018-11-29
817231,Mr,Wonder,O,Woman,1993-03-11,384-58-0223,Male,Domestic,2018-11-20,2018-11-21,2018-11-27,2018-11-28,2018-11-29
144576,Dr,Wonder,T,Wayne,2001-04-05,986-49-4087,Male,Widowed,2018-11-25,2018-11-25,2018-11-26,2018-11-28,2018-11-29
