Medical Record Number,Suffix,First Name,Middle Name,Last Name,Date of Birth,Social Security Number,Gender,Marital Status,Created Date,Coding Date,Billing Date,Claims Date,Charge Capture Date
297879,Mrs,Darth,W,Simpson,1987-01-31,767-03-6932,Male,Separated,2018-11-21,2018-11-27,2018-11-27,2018-11-29,2018-11-29
353670,Mrs,James,W,Vader,1972-04-14,933-35-2963,Male,Single,2018-11-23,2018-11-24,2018-11-25,2018-11-30,2018-12-01
111486,Dr,Homer,A,Bond,2008-02-29,030-74-1674,Male,Widowed,2018-11-21,2018-11-22,2018-11-26,2018-11-26,2018-11-29
017346,Mr,SpongeBob,U,Wayne,1987-11-20,699-47-3874,Male,Widowed,2018-11-26,2018-11-26,2018-11-27,2018-11-27,2018-11-29
587898,Ms,Optimus,D,Woman,1977-09-28,936-77-6542,Female,Married,2018-11-21,2018-11-23,2018-11-26,2018-11-28,2018-11-29
961263,Mrs,Mickey,Z,Underwood,1993-12-13,271-21-7887,Female,Single,2018-11-21,2018-11-23,2018-11-24,2018-11-30,2018-11-30
909945,Mrs,Mickey,H,Simpson,2007-06-21,346-06-2086,Male,Separated,2018-11-22,2018-11-27,2018-11-28,2018-11-30,2018-12-01
219345,Mrs,Bruce,A,Wayne,2003-07-03,488-95-5567,Female,Domestic,2018-11-21,2018-11-25,2018-11-25,2018-11-27,2018-11-29
510315,Dr,Carrie,B,SquarePants,1973-06-01,533-42-5042,Male,Domestic,2018-11-21,2018-11-23,2018-11-26,2018-11-26,2018-11-27
090321,Ms,Darth,T,Vader,2015-04-29,366-52-7756,Female,Separated,2018-11-25,2018-11-27,2018-11-27,2018-11-29,2018-11-30
297879,Mrs,Darth,W,Simpson,1987-01-31,767-03-6932,Male,Separated,Completed,2018-11-27,2018-11-27,2018-11-29,2018-11-29
353670,Mrs,James,W,Vader,1972-04-14,933-35-2963,Male,Single,2018-11-23,2018-11-24,2018-11-25,2018-11-30,2018-12-01
111486,Dr,Homer,A,Bond,2008-02-29,030-74-1674,Male,Widowed,Completed,2018-11-22,2018-11-26,2018-11-26,2018-11-29
017346,Mr,SpongeBob,U,Wayne,1987-11-20,699-47-3874,Male,Widowed,2018-11-26,2018-11-26,2018-11-27,2018-11-27,2018-11-29
587898,Ms,Optimus,D,Woman,1977-09-28,936-77-6542,Female,Married,Completed,2018-11-23,2018-11-26,2018-11-28,2018-11-29
961263,Mrs,Mickey,Z,Underwood,1993-12-13,271-21-7887,Female,Single,Not Completed,2018-11-23,2018-11-24,2018-11-30,2018-11-30
909945,Mrs,Mickey,H,Simpson,2007-06-21,346-06-2086,Male,Separated,2018-11-22,2018-11-27,2018-11-28,2018-11-30,2018-12-01
219345,Mrs,Bruce,A,Wayne,2003-07-03,488-95-5567,Female,Domestic,Completed,2018-11-25,2018-11-25,2018-11-27,2018-11-29
510315,Dr,Carrie,B,SquarePants,1973-06-01,533-42-5042,Male,Domestic,Completed,2018-11-23,2018-11-26,2018-11-26,2018-11-27
090321,Ms,Darth,T,Vader,2015-04-29,366-52-7756,Female,Separated,2018-11-25,2018-11-27,2018-11-27,2018-11-29,2018-11-30
