Medical Record Number,Suffix,First Name,Middle Name,Last Name,Date of Birth,Social Security Number,Gender,Marital Status,Created Date,Coding Date,Billing Date,Claims Date,Charge Capture Date
895261,Mrs,Rachel,V,Jensen,1992-11-15,523-39-9127,Female,Married,2019-04-05,,2019-04-05,,2019-04-13
013006,Dr,Melissa,T,Estrada,1996-10-06,754-16-1483,Female,Single,2019-04-05,,2019-04-09,,2019-04-12
326180,Dr,Douglas,L,Rodriguez,1991-03-01,100-76-4635,Male,Widowed,Completed,Completed,2019-04-05,2019-04-05,2019-04-11
332191,Dr,Michael,J,Cox,1991-06-27,894-61-2937,Male,Divorced,2019-04-09,,2019-04-10,,
612794,Mrs,Alice,Y,Cunningham,1996-09-08,228-46-8298,Female,Married,Completed,2019-04-04,,2019-04-12,
623236,Mrs,Rachel,A,Bishop,2003-01-13,502-87-3920,Female,Married,,,,2019-04-10,2019-04-13
991338,Dr,Donald,O,Lee,1981-08-26,281-76-1175,Male,Married,Completed,,2019-04-09,2019-04-10,2019-04-12
219029,Mr,Patrick,E,Garcia,1983-03-18,031-69-2821,Male,Single,Completed,,2019-04-09,,
282457,Dr,Christine,K,Graham,2007-10-17,878-03-0378,Female,Separated,2019-04-07,2019-04-08,2019-04-12,,2019-04-12
725490,Dr,Jack,A,Wells,2004-11-19,054-54-6489,Male,Married,2019-04-04,2019-04-04,2019-04-06,2019-04-08,2019-04-13
586716,Ms,Gloria,Q,Jimenez,1992-05-04,297-70-6925,Female,Divorced,,,2019-04-07,2019-04-08,2019-04-10
784644,Dr,Charles,R,Schneider,2012-12-08,703-41-5825,Male,Divorced,Completed,2019-04-04,2019-04-08,2019-04-12,2019-04-13
467063,Mr,Nicholas,R,Little,1984-09-24,857-31-1742,Male,Widowed,2019-04-05,2019-04-06,,2019-04-09,
129944,Mr,Justin,F,Aguilar,2007-05-12,531-45-9142,Male,Separated,2019-04-06,2019-04-07,2019-04-10,2019-04-10,2019-04-11
302397,Mr,Timothy,C,Carter,2003-12-15,628-05-9351,Male,Single,2019-04-05,2019-04-07,2019-04-09,2019-04-10,
724817,Dr,Gary,S,Clark,1973-11-07,530-14-1562,Male,Single,Completed,Completed,2019-04-06,2019-04-06,2019-04-12
182850,Ms,Nancy,Y,Lewis,2016-04-05,544-77-2237,Female,Divorced,2019-04-06,,2019-04-07,2019-04-10,
250838,Mrs,Mary,V,Bell,1970-02-27,861-86-1647,Female,Married,Completed,2019-04-04,2019-04-09,,2019-04-11
303411,Dr,Nathan,J,Price,2008-05-04,658-75-2778,Male,Separated,Completed,Completed,2019-04-06,2019-04-08,
759396,Dr,Bryan,R,Dunn,2006-11-11,983-29-1778,Male,Separated,,,2019-04-09,,
925327,Mr,Harry,O,Griffin,1973-02-09,508-26-0550,Male,Single,,2019-04-06,,,2019-04-12
923520,Mr,Walter,B,Delgado,1997-11-01,474-89-0135,Male,Single,2019-04-04,2019-04-05,2019-04-08,2019-04-10,2019-04-11
800199,Mr,Ryan,O,Wade,1981-06-06,856-94-9397,Male,Married,,,2019-04-09,2019-04-13,2019-04-13
