Medical Record Number,Suffix,First Name,Middle Name,Last Name,Date of Birth,Social Security Number,Gender,Marital Status,Created Date,Coding Date,Billing Date,Claims Date,Charge Capture Date
437893,Dr,Optimus,L,Prime,1992-06-06,629-03-8578,Male,Married,2020-07-13,,,2020-07-16,
203245,Ms,Wonder,C,Bond,2014-06-27,142-67-0588,Female,Domestic,2020-07-08,2020-07-09,2020-07-10,2020-07-10,2020-07-12
926070,Ms,Homer,E,Mouse,1986-09-02,749-91-0244,Female,Divorced,2020-07-06,2020-07-09,2020-07-11,2020-07-14,
044282,Mrs,Darth,G,SquarePants,1982-09-05,419-30-1028,Male,Married,,2020-07-09,2020-07-10,,
228591,Mrs,Homer,S,Vader,2005-05-21,053-57-3733,Female,Domestic,,2020-07-09,,,2020-07-16
143782,Ms,SpongeBob,X,Vader,2003-04-29,686-07-2634,Male,Widowed,2020-07-08,2020-07-10,2020-07-11,,2020-07-15
344195,Dr,Mickey,Y,Woman,1973-09-24,824-71-8528,Female,Domestic,,2020-07-10,2020-07-10,,
242307,Ms,Wonder,A,Woman,1973-01-04,141-73-8615,Male,Married,2020-07-09,2020-07-10,2020-07-13,,
713036,Dr,James,B,Simpson,1996-06-12,646-08-0980,Male,Widowed,2020-07-07,2020-07-09,2020-07-10,2020-07-14,2020-07-15
164169,Mrs,Homer,M,SquarePants,1975-08-01,887-97-6422,Female,Married,,,2020-07-13,,
035597,Dr,Darth,T,Prime,1991-02-06,669-92-7850,Male,Divorced,,,2020-07-13,2020-07-15,2020-07-16
932796,Mr,Wonder,N,Simpson,1994-01-27,149-97-4566,Male,Divorced,2020-07-06,,2020-07-11,,2020-07-15
507776,Mr,Optimus,A,Wayne,2015-11-24,081-25-1864,Male,Single,2020-07-07,2020-07-08,2020-07-09,2020-07-13,2020-07-16
255026,Ms,Wonder,B,SquarePants,1989-06-22,630-96-3769,Female,Single,,,2020-07-11,2020-07-12,2020-07-13
190870,Ms,SpongeBob,T,Underwood,1971-01-26,927-12-4017,Male,Divorced,,2020-07-09,2020-07-09,,2020-07-15
825114,Ms,Carrie,Y,Bond,2017-03-12,061-04-4761,Female,Separated,2020-07-06,2020-07-08,2020-07-11,2020-07-13,2020-07-15
368038,Mrs,Bruce,V,Bond,1979-09-24,816-54-3288,Female,Widowed,,,2020-07-14,2020-07-14,2020-07-16
920441,Mrs,Optimus,H,Bond,2008-02-22,303-05-4814,Male,Divorced,2020-07-07,2020-07-12,,,2020-07-15
528803,Ms,Carrie,A,Simpson,1978-09-20,215-35-3641,Female,Divorced,2020-07-09,2020-07-11,,2020-07-16,2020-07-16
977739,Mr,James,F,Woman,1974-03-31,712-53-3983,Female,Domestic,2020-07-07,,,,2020-07-14
